REF_DATE,GEO,Labour force characteristics,Sex,Age group,VALUE
2015-02,Nova Scotia,Full-time employment,Both sexes,15 to 24 years,34.4
2015-02,Nova Scotia,Full-time employment,Both sexes,25 years and over,333.8
2015-02,Nova Scotia,Full-time employment,Both sexes,25 to 54 years,260.3
2015-02,Nova Scotia,Full-time employment,Both sexes,55 years and over,73.5
2015-02,Nova Scotia,Full-time employment,Males,15 years and over,197.2
2015-02,Nova Scotia,Full-time employment,Males,15 to 64 years,189.3
2015-02,Nova Scotia,Full-time employment,Males,15 to 24 years,19.4
2015-02,Nova Scotia,Full-time employment,Males,25 years and over,177.8
2015-02,Nova Scotia,Full-time employment,Males,25 to 54 years,136.1
2015-02,Nova Scotia,Full-time employment,Females,15 years and over,171
2015-02,Nova Scotia,Full-time employment,Females,15 to 64 years,168.8
2015-02,Nova Scotia,Full-time employment,Females,15 to 24 years,15
2015-02,Nova Scotia,Full-time employment,Females,25 years and over,156
2015-02,Nova Scotia,Full-time employment,Females,25 to 54 years,124.2
2015-02,Nova Scotia,Unemployment rate,Both sexes,15 years and over,8.9
2015-02,Nova Scotia,Unemployment rate,Both sexes,15 to 64 years,9
2015-02,Nova Scotia,Unemployment rate,Both sexes,15 to 24 years,15.3
2015-02,Nova Scotia,Unemployment rate,Both sexes,25 years and over,7.7
2015-02,Nova Scotia,Unemployment rate,Both sexes,25 to 54 years,7.7
2015-02,Nova Scotia,Unemployment rate,Both sexes,55 years and over,7.9
2015-02,Nova Scotia,Unemployment rate,Males,15 years and over,10.8
2015-02,Nova Scotia,Unemployment rate,Males,15 to 64 years,11
2015-02,Nova Scotia,Unemployment rate,Males,15 to 24 years,19.4
2015-02,Nova Scotia,Unemployment rate,Males,25 years and over,9.2
2015-02,Nova Scotia,Unemployment rate,Males,25 to 54 years,9
2015-02,Nova Scotia,Unemployment rate,Males,55 years and over,9.9
2015-02,Nova Scotia,Unemployment rate,Females,15 years and over,6.9
2015-02,Nova Scotia,Unemployment rate,Females,15 to 64 years,7
2015-02,Nova Scotia,Unemployment rate,Females,15 to 24 years,11.3
2015-02,Nova Scotia,Unemployment rate,Females,25 years and over,6.2
2015-02,Nova Scotia,Unemployment rate,Females,25 to 54 years,6.3
2015-02,Nova Scotia,Unemployment rate,Females,55 years and over,5.9
2015-02,Nova Scotia,Participation rate,Both sexes,15 years and over,62.7
2015-02,Nova Scotia,Participation rate,Both sexes,15 to 64 years,76.7
2015-02,Nova Scotia,Participation rate,Both sexes,15 to 24 years,66.7
2015-02,Nova Scotia,Participation rate,Both sexes,25 years and over,62
2015-02,Nova Scotia,Participation rate,Both sexes,25 to 54 years,86.9
2015-02,Nova Scotia,Participation rate,Both sexes,55 years and over,33
2015-02,Nova Scotia,Participation rate,Males,15 years and over,66.2
2015-02,Nova Scotia,Participation rate,Males,15 to 64 years,78.8
2015-02,Nova Scotia,Participation rate,Males,15 to 24 years,67.1
2015-02,Nova Scotia,Participation rate,Males,25 years and over,66
2015-02,Nova Scotia,Participation rate,Males,25 to 54 years,89.8
2015-02,Nova Scotia,Participation rate,Males,55 years and over,37.3
2015-02,Nova Scotia,Participation rate,Females,15 years and over,59.4
2015-02,Nova Scotia,Participation rate,Females,15 to 64 years,74.6
2015-02,Nova Scotia,Participation rate,Females,15 to 24 years,66.2
2015-02,Nova Scotia,Participation rate,Females,25 years and over,58.4
2015-02,Nova Scotia,Participation rate,Females,25 to 54 years,84.2
2015-02,Nova Scotia,Participation rate,Females,55 years and over,29.1
2015-02,New Brunswick,Full-time employment,Both sexes,15 years and over,298.1
2015-02,New Brunswick,Full-time employment,Both sexes,15 to 64 years,290.3
2015-02,New Brunswick,Full-time employment,Both sexes,15 to 24 years,26.8
2015-02,New Brunswick,Full-time employment,Both sexes,25 years and over,271.3
2015-02,New Brunswick,Full-time employment,Both sexes,25 to 54 years,209.2
2015-02,New Brunswick,Full-time employment,Both sexes,55 years and over,62.1
2015-02,New Brunswick,Full-time employment,Males,15 years and over,162.8
2015-02,New Brunswick,Full-time employment,Males,15 to 64 years,157.3
2015-02,New Brunswick,Full-time employment,Males,15 to 24 years,15.5
2015-02,New Brunswick,Full-time employment,Males,25 years and over,147.3
2015-02,New Brunswick,Full-time employment,Males,25 to 54 years,111.1
2015-02,New Brunswick,Full-time employment,Females,15 years and over,135.3
2015-02,New Brunswick,Full-time employment,Females,15 to 64 years,133
2015-02,New Brunswick,Full-time employment,Females,15 to 24 years,11.3
2015-02,New Brunswick,Full-time employment,Females,25 years and over,124
2015-02,New Brunswick,Full-time employment,Females,25 to 54 years,98.1
2015-02,New Brunswick,Unemployment rate,Both sexes,15 years and over,10.3
2015-02,New Brunswick,Unemployment rate,Both sexes,15 to 64 years,10.4
2015-02,New Brunswick,Unemployment rate,Both sexes,15 to 24 years,18.4
2015-02,New Brunswick,Unemployment rate,Both sexes,25 years and over,8.9
2015-02,New Brunswick,Unemployment rate,Both sexes,25 to 54 years,8.4
2015-02,New Brunswick,Unemployment rate,Both sexes,55 years and over,10.4
2015-02,New Brunswick,Unemployment rate,Males,15 years and over,12.2
2015-02,New Brunswick,Unemployment rate,Males,15 to 64 years,12.2
2015-02,New Brunswick,Unemployment rate,Males,15 to 24 years,22.9
2015-02,New Brunswick,Unemployment rate,Males,25 years and over,10.4
2015-02,New Brunswick,Unemployment rate,Males,25 to 54 years,9.4
2015-02,New Brunswick,Unemployment rate,Males,55 years and over,13.1
2015-02,New Brunswick,Unemployment rate,Females,15 years and over,8.2
2015-02,New Brunswick,Unemployment rate,Females,15 to 64 years,8.5
2015-02,New Brunswick,Unemployment rate,Females,15 to 24 years,14.1
2015-02,New Brunswick,Unemployment rate,Females,25 years and over,7.3
2015-02,New Brunswick,Unemployment rate,Females,25 to 54 years,7.4
2015-02,New Brunswick,Unemployment rate,Females,55 years and over,7
2015-02,New Brunswick,Participation rate,Both sexes,15 years and over,63.4
2015-02,New Brunswick,Participation rate,Both sexes,15 to 64 years,77.4
2015-02,New Brunswick,Participation rate,Both sexes,15 to 24 years,66.1
2015-02,New Brunswick,Participation rate,Both sexes,25 years and over,62.9
2015-02,New Brunswick,Participation rate,Both sexes,25 to 54 years,86.6
2015-02,New Brunswick,Participation rate,Both sexes,55 years and over,35.2
2015-02,New Brunswick,Participation rate,Males,15 years and over,67.4
2015-02,New Brunswick,Participation rate,Males,15 to 64 years,80.1
2015-02,New Brunswick,Participation rate,Males,15 to 24 years,65.5
2015-02,New Brunswick,Participation rate,Males,25 years and over,67.7
2015-02,New Brunswick,Participation rate,Males,25 to 54 years,89.7
2015-02,New Brunswick,Participation rate,Males,55 years and over,41.3
2015-02,New Brunswick,Participation rate,Females,15 years and over,59.5
2015-02,New Brunswick,Participation rate,Females,15 to 64 years,74.7
2015-02,New Brunswick,Participation rate,Females,15 to 24 years,66.8
2015-02,New Brunswick,Participation rate,Females,25 years and over,58.4
2015-02,New Brunswick,Participation rate,Females,25 to 54 years,83.7
2015-02,New Brunswick,Participation rate,Females,55 years and over,29.7
2015-02,Quebec,Full-time employment,Both sexes,15 years and over,3255.3
2015-02,Quebec,Full-time employment,Both sexes,15 to 64 years,3185.7
2015-02,Quebec,Full-time employment,Both sexes,15 to 24 years,244.2
2015-02,Quebec,Full-time employment,Both sexes,25 years and over,3011.1
2015-02,Quebec,Full-time employment,Both sexes,25 to 54 years,2409.3
2015-02,Quebec,Full-time employment,Both sexes,55 years and over,601.8
2015-02,Quebec,Full-time employment,Males,15 years and over,1828.9
2015-02,Quebec,Full-time employment,Males,15 to 64 years,1778.1
2015-02,Quebec,Full-time employment,Males,15 to 24 years,137.8
2015-02,Quebec,Full-time employment,Males,25 years and over,1691.1
2015-02,Quebec,Full-time employment,Males,25 to 54 years,1322.8
2015-02,Quebec,Full-time employment,Females,15 years and over,1426.4
2015-02,Quebec,Full-time employment,Females,15 to 64 years,1407.6
2015-02,Quebec,Full-time employment,Females,15 to 24 years,106.4
2015-02,Quebec,Full-time employment,Females,25 years and over,1320
2015-02,Quebec,Full-time employment,Females,25 to 54 years,1086.5
2015-02,Quebec,Unemployment rate,Both sexes,15 years and over,7.4
2015-02,Quebec,Unemployment rate,Both sexes,15 to 64 years,7.4
2015-02,Quebec,Unemployment rate,Both sexes,15 to 24 years,13.3
2015-02,Quebec,Unemployment rate,Both sexes,25 years and over,6.3
2015-02,Quebec,Unemployment rate,Both sexes,25 to 54 years,6
2015-02,Quebec,Unemployment rate,Both sexes,55 years and over,7.2
2015-02,Quebec,Unemployment rate,Males,15 years and over,8.2
2015-02,Quebec,Unemployment rate,Males,15 to 64 years,8.2
2015-02,Quebec,Unemployment rate,Males,15 to 24 years,16.3
2015-02,Quebec,Unemployment rate,Males,25 years and over,6.9
2015-02,Quebec,Unemployment rate,Males,25 to 54 years,6.6
2015-02,Quebec,Unemployment rate,Males,55 years and over,8
2015-02,Quebec,Unemployment rate,Females,15 years and over,6.4
2015-02,Quebec,Unemployment rate,Females,15 to 64 years,6.5
2015-02,Quebec,Unemployment rate,Females,15 to 24 years,10.4
2015-02,Quebec,Unemployment rate,Females,25 years and over,5.6
2015-02,Quebec,Unemployment rate,Females,25 to 54 years,5.5
2015-02,Quebec,Unemployment rate,Females,55 years and over,6.2
2015-02,Quebec,Participation rate,Both sexes,15 years and over,64.7
2015-02,Quebec,Participation rate,Both sexes,15 to 64 years,78.5
2015-02,Quebec,Participation rate,Both sexes,15 to 24 years,67.8
2015-02,Quebec,Participation rate,Both sexes,25 years and over,64.2
2015-02,Quebec,Participation rate,Both sexes,25 to 54 years,87.4
2015-02,Quebec,Participation rate,Both sexes,55 years and over,33.6
2015-02,Quebec,Participation rate,Males,15 years and over,68.8
2015-02,Quebec,Participation rate,Males,15 to 64 years,81.2
2015-02,Quebec,Participation rate,Males,15 to 24 years,67.1
2015-02,Quebec,Participation rate,Males,25 years and over,69.1
2015-02,Quebec,Participation rate,Males,25 to 54 years,90.1
2015-02,Quebec,Participation rate,Males,55 years and over,39.6
2015-02,Quebec,Participation rate,Females,15 years and over,60.8
2015-02,Quebec,Participation rate,Females,15 to 64 years,75.8
2015-02,Quebec,Participation rate,Females,15 to 24 years,68.5
2015-02,Quebec,Participation rate,Females,25 years and over,59.5
2015-02,Quebec,Participation rate,Females,25 to 54 years,84.7
2015-02,Quebec,Participation rate,Females,55 years and over,28.2
2015-02,Ontario,Full-time employment,Both sexes,15 years and over,5587.4
2015-02,Ontario,Full-time employment,Both sexes,15 to 64 years,5422.1
2015-02,Ontario,Full-time employment,Both sexes,15 to 24 years,452.9
2015-02,Ontario,Full-time employment,Both sexes,25 years and over,5134.5
2015-02,Ontario,Full-time employment,Both sexes,25 to 54 years,4040.3
2015-02,Ontario,Full-time employment,Both sexes,55 years and over,1094.2
2015-02,Ontario,Full-time employment,Males,15 years and over,3129.3
2015-02,Ontario,Full-time employment,Males,15 to 64 years,3021.5
2015-02,Ontario,Full-time employment,Males,15 to 24 years,255.4
2015-02,Ontario,Full-time employment,Males,25 years and over,2873.9
2015-02,Ontario,Full-time employment,Males,25 to 54 years,2229.5
2015-02,Ontario,Full-time employment,Females,15 years and over,2458.1
2015-02,Ontario,Full-time employment,Females,15 to 64 years,2400.6
2015-02,Ontario,Full-time employment,Females,15 to 24 years,197.5
2015-02,Ontario,Full-time employment,Females,25 years and over,2260.6
2015-02,Ontario,Full-time employment,Females,25 to 54 years,1810.8
2015-02,Ontario,Unemployment rate,Both sexes,15 years and over,6.9
2015-02,Ontario,Unemployment rate,Both sexes,15 to 64 years,7
2015-02,Ontario,Unemployment rate,Both sexes,15 to 24 years,14.8
2015-02,Ontario,Unemployment rate,Both sexes,25 years and over,5.5
2015-02,Ontario,Unemployment rate,Both sexes,25 to 54 years,5.6
2015-02,Ontario,Unemployment rate,Both sexes,55 years and over,5
2015-02,Ontario,Unemployment rate,Males,15 years and over,7.4
2015-02,Ontario,Unemployment rate,Males,15 to 64 years,7.6
2015-02,Ontario,Unemployment rate,Males,15 to 24 years,16.8
2015-02,Ontario,Unemployment rate,Males,25 years and over,5.8
2015-02,Ontario,Unemployment rate,Males,25 to 54 years,6.1
2015-02,Ontario,Unemployment rate,Males,55 years and over,4.9
2015-02,Ontario,Unemployment rate,Females,15 years and over,6.3
2015-02,Ontario,Unemployment rate,Females,15 to 64 years,6.5
2015-02,Ontario,Unemployment rate,Females,15 to 24 years,12.8
2015-02,Ontario,Unemployment rate,Females,25 years and over,5.1
2015-02,Ontario,Unemployment rate,Females,25 to 54 years,5.1
2015-02,Ontario,Unemployment rate,Females,55 years and over,5.2
2015-02,Ontario,Participation rate,Both sexes,15 years and over,65.3
2015-02,Ontario,Participation rate,Both sexes,15 to 64 years,77
2015-02,Ontario,Participation rate,Both sexes,15 to 24 years,62.3
2015-02,Ontario,Participation rate,Both sexes,25 years and over,65.9
2015-02,Ontario,Participation rate,Both sexes,25 to 54 years,85.5
2015-02,Ontario,Participation rate,Both sexes,55 years and over,37.3
2015-02,Ontario,Participation rate,Males,15 years and over,70
2015-02,Ontario,Participation rate,Males,15 to 64 years,80.8
2015-02,Ontario,Participation rate,Males,15 to 24 years,60.9
2015-02,Ontario,Participation rate,Males,25 years and over,71.8
2015-02,Ontario,Participation rate,Males,25 to 54 years,90.6
2015-02,Ontario,Participation rate,Males,55 years and over,43.1
2015-02,Ontario,Participation rate,Females,15 years and over,61
2015-02,Ontario,Participation rate,Females,15 to 64 years,73.3
2015-02,Ontario,Participation rate,Females,15 to 24 years,63.7
2015-02,Ontario,Participation rate,Females,25 years and over,60.5
2015-02,Ontario,Participation rate,Females,25 to 54 years,80.6
2015-02,Ontario,Participation rate,Females,55 years and over,32.2
2015-02,Manitoba,Full-time employment,Both sexes,15 years and over,520.2
2015-02,Manitoba,Full-time employment,Both sexes,15 to 64 years,504.9
2015-02,Manitoba,Full-time employment,Both sexes,15 to 24 years,57.1
2015-02,Manitoba,Full-time employment,Both sexes,25 years and over,463.2
2015-02,Manitoba,Full-time employment,Both sexes,25 to 54 years,362.5
2015-02,Manitoba,Full-time employment,Both sexes,55 years and over,100.6
2015-02,Manitoba,Full-time employment,Males,15 years and over,300.5
2015-02,Manitoba,Full-time employment,Males,15 to 64 years,289.3
2015-02,Manitoba,Full-time employment,Males,15 to 24 years,33.9
2015-02,Manitoba,Full-time employment,Males,25 years and over,266.6
2015-02,Manitoba,Full-time employment,Males,25 to 54 years,206.9
2015-02,Manitoba,Full-time employment,Females,15 years and over,219.8
2015-02,Manitoba,Full-time employment,Females,15 to 64 years,215.6
2015-02,Manitoba,Full-time employment,Females,15 to 24 years,23.2
2015-02,Manitoba,Full-time employment,Females,25 years and over,196.6
2015-02,Manitoba,Full-time employment,Females,25 to 54 years,155.7
2015-02,Manitoba,Unemployment rate,Both sexes,15 years and over,5.4
2015-02,Manitoba,Unemployment rate,Both sexes,15 to 64 years,5.5
2015-02,Manitoba,Unemployment rate,Both sexes,15 to 24 years,11.7
2015-02,Manitoba,Unemployment rate,Both sexes,25 years and over,4.2
2015-02,Manitoba,Unemployment rate,Both sexes,25 to 54 years,4.2
2015-02,Manitoba,Unemployment rate,Both sexes,55 years and over,4.2
2015-02,Manitoba,Unemployment rate,Males,15 years and over,5.4
2015-02,Manitoba,Unemployment rate,Males,15 to 64 years,5.5
2015-02,Manitoba,Unemployment rate,Males,15 to 24 years,12.3
2015-02,Manitoba,Unemployment rate,Males,25 years and over,4.1
2015-02,Manitoba,Unemployment rate,Males,25 to 54 years,3.9
